//Taille
2
//parametre de taille
0 1
1 1
//l'intervalle de la temperature pour cémentite
298.15 1768.00 1811.00 2180.00 2896. 5000. 6000.00
//l'ordre pour Gpower
-9 -3 -2 -1 0 1 2 3 4
//Taille pour GHSERp
7 4 2 10
//matrice GHSERp pour ferrite
//t i j l valeur
3 1 0 0 -74.3
3 1 0 1 -2.88526
3 1 0 2 1.2e10
3 1 0 3 -2.643e8
3 1 0 4 2562600
3 1 0 5 -51037.785
3 1 0 6 512.97
3 1 0 7 -4.723e-4
3 1 0 8 0
3 1 0 9 0
4 1 0 0 -74.3
4 1 0 1 -2.88526
4 1 0 2 1.2e10
4 1 0 3 -2.643e8
4 1 0 4 2562600
4 1 0 5 -51037.785
4 1 0 6 512.97
4 1 0 7 -4.723e-4
4 1 0 8 0
4 1 0 9 0
5 1 0 0 -74.3
5 1 0 1 -2.88526
5 1 0 2 1.2e10
5 1 0 3 -2.643e8
5 1 0 4 2562600
5 1 0 5 -51037.785
5 1 0 6 512.97
5 1 0 7 -4.723e-4
5 1 0 8 0
5 1 0 9 0
6 1 0 0 -74.3
6 1 0 1 -2.88526
6 1 0 2 1.2e10
6 1 0 3 -2.643e8
6 1 0 4 2562600
6 1 0 5 -51037.785
6 1 0 6 512.97
6 1 0 7 -4.723e-4
6 1 0 8 0
6 1 0 9 0
0 2 0 0 -47.864139999
0 2 0 1 0
0 2 0 2 1.2e10
0 2 0 3 -2.643e8
0 2 0 4 1878412
0 2 0 5 -32614.742999
0 2 0 6 294.34969999
0 2 0 7 -0.003915695999
0 2 0 8 5.66283e-7
0 2 0 9 -1.30927e-10
1 2 0 0 -47.864139999
1 2 0 1 0
1 2 0 2 1.2e10
1 2 0 3 -2.643e8
1 2 0 4 1878412
1 2 0 5 -32614.742999
1 2 0 6 294.34969999
1 2 0 7 -0.003915695999
1 2 0 8 5.66283e-7
1 2 0 9 -1.30927e-10
2 2 0 0 -47.864139999
2 2 0 1 0
2 2 0 2 1.2e10
2 2 0 3 -2.643e8
2 2 0 4 1878412
2 2 0 5 -32614.742999
2 2 0 6 294.34969999
2 2 0 7 -0.003915695999
2 2 0 8 5.66283e-7
2 2 0 9 -1.30927e-10
3 2 0 0 -47.864139999
3 2 0 1 0
3 2 0 2 1.2e10
3 2 0 3 -2.643e8
3 2 0 4 1878412
3 2 0 5 -32614.742999
3 2 0 6 294.34969999
3 2 0 7 -0.003915695999
3 2 0 8 5.66283e-7
3 2 0 9 -1.30927e-10
4 2 0 0 -66.938289999
4 2 0 1 -4.849315e33
4 2 0 2 -1.2e10
4 2 0 3 0
4 2 0 4 1812600
4 2 0 5 -55424.851
4 2 0 6 445.98974599
4 2 0 7 -2643e5
4 2 0 8 0
4 2 0 9 0
5 2 0 0 -24.3
5 2 0 1 0
5 2 0 2 1.2e10
5 2 0 3 -2.643e8
5 2 0 4 1812600
5 2 0 5 -24868.440999
5 2 0 6 162.429999
5 2 0 7 -4.723e-4
5 2 0 8 0
5 2 0 9 0
6 2 0 0 -24.3
6 2 0 1 0
6 2 0 2 1.2e10
6 2 0 3 -2.643e8
6 2 0 4 1812600
6 2 0 5 -24868.440999
6 2 0 6 162.429999
6 2 0 7 -4.723e-4
6 2 0 8 0
6 2 0 9 0
0 0 1 0 -24.6643
0 0 1 1 0
0 0 1 2 0
0 0 1 3 0
0 0 1 4 77359
0 0 1 5 -236.7
0 0 1 6 132.416
0 0 1 7 -0.00375752
0 0 1 8 -5.8927e-8
0 0 1 9 0
1 0 1 0 -24.6643
1 0 1 1 0
1 0 1 2 0
1 0 1 3 0
1 0 1 4 77359
1 0 1 5 -236.7
1 0 1 6 132.416
1 0 1 7 -0.00375752
1 0 1 8 -5.8927e-8
1 0 1 9 0
2 0 1 0 -46
2 0 1 1 2.78854e31
2 0 1 2 0
2 0 1 3 0
2 0 1 4 0
2 0 1 5 -27098.266
2 0 1 6 300.25256 
2 0 1 7 0 
2 0 1 8 0 
2 0 1 9 0
3 0 1 0 -46
3 0 1 1 2.78854e31
3 0 1 2 0
3 0 1 3 0
3 0 1 4 0
3 0 1 5 -27098.266
3 0 1 6 300.25256 
3 0 1 7 0 
3 0 1 8 0 
3 0 1 9 0
4 0 1 0 -46
4 0 1 1 2.78854e31
4 0 1 2 0
4 0 1 3 0
4 0 1 4 0
4 0 1 5 -27098.266
4 0 1 6 300.25256 
4 0 1 7 0 
4 0 1 8 0 
4 0 1 9 0 
5 0 1 0 -46
5 0 1 1 2.78854e31
5 0 1 2 0
5 0 1 3 0
5 0 1 4 0
5 0 1 5 -27098.266
5 0 1 6 300.25256 
5 0 1 7 0 
5 0 1 8 0 
5 0 1 9 0 
6 0 1 0 -46
6 0 1 1 2.78854e31
6 0 1 2 0
6 0 1 3 0
6 0 1 4 0
6 0 1 5 -27098.266
6 0 1 6 300.25256 
6 0 1 7 0 
6 0 1 8 0 
6 0 1 9 0 
0 1 1 0 -26.908
0 1 1 1 0
0 1 1 2 0
0 1 1 3 0
0 1 1 4 139250
0 1 1 5 -1572.94
0 1 1 6 157.643
0 1 1 7 0.00189435
0 1 1 8 -1.47721e-6
0 1 1 9 0
1 1 1 0 -26.908
1 1 1 1 0
1 1 1 2 0
1 1 1 3 0
1 1 1 4 139250
1 1 1 5 -1572.94
1 1 1 6 157.643
1 1 1 7 0.00189435
1 1 1 8 -1.47721e-6
1 1 1 9 0
2 1 1 0 -26.908
2 1 1 1 0
2 1 1 2 0
2 1 1 3 0
2 1 1 4 139250
2 1 1 5 -1572.94
2 1 1 6 157.643
2 1 1 7 0.00189435
2 1 1 8 -1.47721e-6
2 1 1 9 0
3 1 1 0 -50
3 1 1 1 -2.88526e32
3 1 1 2 0 
3 1 1 3 0
3 1 1 4 0
3 1 1 5 -27585.344 
3 1 1 6 344.343
3 1 1 7 0
3 1 1 8 0
3 1 1 9 0
4 1 1 0 -50
4 1 1 1 -2.88526e32
4 1 1 2 0 
4 1 1 3 0
