//Taille
2
//parametre de taille
0 1
1 3
//l'intervalle de la temperature pour ferrite
298.15 1768. 1811. 2180. 2896. 5000. 6000.
//ordre pour Gpower
-9 -3 -2 -1 0 1 2 3 4
//Taille pour GHSERp
7 4 2 10
//matrice GHSERp pour ferrite
//temperature i[Fe/Cr/Mo/Co] j[C/Va] l[l'ordre] valeur
1 1 1 9 0
2 1 1 0 -26.908
2 1 1 1 0
2 1 1 2 0
2 1 1 3 0
2 1 1 4 139250
2 1 1 5 -8856.94
2 1 1 6 157.48
2 1 1 7 0.00189435
2 1 1 8 -1.47721e-6
2 1 1 9 0
3 1 1 0 -50 
3 1 1 1 -2.88526e32 
3 1 1 2 0 
3 1 1 3 0 
3 1 1 4 0
3 1 1 5 -34869.344 
3 1 1 6 344.18 
3 1 1 7 0 
3 1 1 8 0
3 1 1 9 0
4 1 1 0 -50 
4 1 1 1 -2.88526e32 
4 1 1 2 0 
4 1 1 3 0 
4 1 1 4 0
4 1 1 5 -34869.344 
4 1 1 6 344.18 
4 1 1 7 0 
4 1 1 8 0
4 1 1 9 0
5 1 1 0 -50 
5 1 1 1 -2.88526e32 
5 1 1 2 0 
5 1 1 3 0 
5 1 1 4 0
5 1 1 5 -34869.344 
5 1 1 6 344.18 
5 1 1 7 0 
5 1 1 8 0
5 1 1 9 0
6 1 1 0 -50 
6 1 1 1 -2.88526e32 
6 1 1 2 0 
6 1 1 3 0 
6 1 1 4 0
6 1 1 5 -34869.344 
6 1 1 6 344.18 
6 1 1 7 0 
6 1 1 8 0
6 1 1 9 0
0 2 1 0 -23.56414
0 2 1 1 0
0 2 1 2 0
0 2 1 3 0
0 2 1 4 65812
0 2 1 5 -7746.302
0 2 1 6 131.9197
0 2 1 7 -0.003443396
0 2 1 8 5.66283e-7
0 2 1 9 -1.30927e-10
1 2 1 0 -23.56414
1 2 1 1 0
1 2 1 2 0
1 2 1 3 0
1 2 1 4 65812
1 2 1 5 -7746.302
1 2 1 6 131.9197
1 2 1 7 -0.003443396
1 2 1 8 5.66283e-7
1 2 1 9 -1.30927e-10
2 2 1 0 -23.56414
2 2 1 1 0
2 2 1 2 0
2 2 1 3 0
2 2 1 4 65812
2 2 1 5 -7746.302
2 2 1 6 131.9197
2 2 1 7 -0.003443396
2 2 1 8 5.66283e-7
2 2 1 9 -1.30927e-10
3 2 1 0 -23.56414
3 2 1 1 0
3 2 1 2 0
3 2 1 3 0
3 2 1 4 65812
3 2 1 5 -7746.302
3 2 1 6 131.9197
3 2 1 7 -0.003443396
3 2 1 8 5.66283e-7
3 2 1 9 -1.30927e-10
4 2 1 0 -42.63829
4 2 1 1 -4.849315e33
4 2 1 2 0
4 2 1 3 0
4 2 1 4 0
4 2 1 5 -30556.41
4 2 1 6 283.559746
4 2 1 7 0
4 2 1 8 0
4 2 1 9 0
5 2 1 0 -42.63829
5 2 1 1 -4.849315e33
5 2 1 2 0
5 2 1 3 0
5 2 1 4 0
5 2 1 5 -30556.41
5 2 1 6 283.559746
5 2 1 7 0
5 2 1 8 0
5 2 1 9 0
6 2 1 0 0
6 2 1 1 0
6 2 1 2 0
6 2 1 3 0
6 2 1 4 0
6 2 1 5 0
6 2 1 6 0
6 2 1 7 0
6 2 1 8 0
6 2 1 9 0
0 0 1 0 -23.5143
0 0 1 1 0
0 0 1 2 0
0 0 1 3 0
0 0 1 4 77359
0 0 1 5 1225.7
0 0 1 6 124.134
0 0 1 7 -0.00439752
0 0 1 8 -5.8927e-8
0 0 1 9 0
1 0 1 0 -23.5143
1 0 1 1 0
1 0 1 2 0
1 0 1 3 0
1 0 1 4 77359
1 0 1 5 1225.7
1 0 1 6 124.134
1 0 1 7 -0.00439752
1 0 1 8 -5.8927e-8
1 0 1 9 0
2 0 1 0 -46
2 0 1 1 2.29603e31
2 0 1 2 0
2 0 1 3 0
2 0 1 4 0
2 0 1 5 -25383.581
2 0 1 6 299.31255
2 0 1 7 0
2 0 1 8 0
2 0 1 9 0
3 0 1 0 -46
3 0 1 1 2.29603e31
3 0 1 2 0
3 0 1 3 0
3 0 1 4 0
3 0 1 5 -25383.581
3 0 1 6 299.31255
3 0 1 7 0
3 0 1 8 0
3 0 1 9 0
4 0 1 0 -46
4 0 1 1 2.29603e31
4 0 1 2 0
4 0 1 3 0
4 0 1 4 0
4 0 1 5 -25383.581
4 0 1 6 299.31255
4 0 1 7 0
4 0 1 8 0
4 0 1 9 0
5 0 1 0 -46
5 0 1 1 2.29603e31
5 0 1 2 0
5 0 1 3 0
5 0 1 4 0
5 0 1 5 -25383.581
5 0 1 6 299.31255
5 0 1 7 0
5 0 1 8 0
5 0 1 9 0
6 0 1 0 -46
6 0 1 1 2.29603e31
6 0 1 2 0
6 0 1 3 0
6 0 1 4 0
6 0 1 5 -25383.581
6 0 1 6 299.31255
6 0 1 7 0
6 0 1 8 0
6 0 1 9 0
0 3 1 0 -25.0861
0 3 1 1 0
0 3 1 2 0
0 3 1 3 0
0 3 1 4 72527
0 3 1 5 3248.241
0 3 1 6 132.65221
0 3 1 7 -0.002654739
0 3 1 8 -1.7348e-7
0 3 1 9 0
1 3 1 0 -40.5
1 3 1 1 9.3488e30
1 3 1 2 0
1 3 1 3 0
1 3 1 4 0
1 3 1 5 -14259.666
1 3 1 6 252.56994
1 3 1 7 0
1 3 1 8 0
1 3 1 9 0
2 3 1 0 -40.5
2 3 1 1 9.3488e30
2 3 1 2 0
2 3 1 3 0
2 3 1 4 0
2 3 1 5 -14259.666
2 3 1 6 252.56994
2 3 1 7 0
2 3 1 8 0
2 3 1 9 0
3 3 1 0 -40.5
3 3 1 1 9.3488e30
3 3 1 2 0
3 3 1 3 0
3 3 1 4 0
3 3 1 5 -14259.666
3 3 1 6 252.56994
3 3 1 7 0
3 3 1 8 0
3 3 1 9 0
4 3 1 0 -40.5
4 3 1 1 9.3488e30
4 3 1 2 0
4 3 1 3 0
4 3 1 4 0
4 3 1 5 -14259.666
4 3 1 6 252.56994
4 3 1 7 0
4 3 1 8 0
4 3 1 9 0
5 3 1 0 -40.5
5 3 1 1 9.3488e30
5 3 1 2 0
5 3 1 3 0
5 3 1 4 0
5 3 1 5 -14259.666
5 3 1 6 252.56994
5 3 1 7 0
5 3 1 8 0
5 3 1 9 0
6 3 1 0 -40.5
6 3 1 1 9.3488e30
6 3 1 2 0
6 3 1 3 0
6 3 1 4 0
6 3 1 5 -14259.666
6 3 1 6 252.56994
6 3 1 7 0
6 3 1 8 0
6 3 1 9 0
0 3 0 0 -97.9861
0 3 0 1 0
0 3 0 2 3.5999e10
0 3 0 3 -7.9289e8
0 3 0 4 7760327
0 3 0 5 196408.918
0 3 0 6 614.285
0 3 0 7 -0.00407164
0 3 0 8 -1.7348e-7
0 3 0 9 0
1 3 0 0 -113.4
1 3 0 1 9.3488e30
1 3 0 2 3.599e10
1 3 0 3 -7.929e8
1 3 0 4 7687800
